outcome,N,dml_coef,dml_se_cluster_province,dml_pvalue,ci95_low,ci95_high,mean_abs_y_resid,mean_abs_d_resid,folds,x_num_features,x_topic_features,x_text_idx_features,baseline_twfe_coef,baseline_twfe_p,baseline_twfe_N,direction_consistent
exec_share,268,0.2984666785496256,0.09817781135099676,0.0023652909142661107,0.10603816830167195,0.49089518879757926,0.15934615828461648,0.1031648817123704,5,56,24,20,0.3556277047526443,0.0003845468521862361,262,True
proc_share,268,-0.2719819844849626,0.09271495670747636,0.00335132691225481,-0.45370329963161626,-0.09026066933830892,0.15118299327158102,0.1031648817123704,5,56,24,20,-0.4022774860927124,7.899841079915366e-05,262,True
ppp_quality_zindex,268,0.719783385049255,0.2306620084470388,0.0018053742106306832,0.26768584849305893,1.171880921605451,0.3087733289448538,0.1031648817123704,5,56,24,20,0.5252969355953989,0.2125593654150235,262,True
