outcome,mediator,did_var,N,coef_did,p_did,coef_mediator,p_mediator,r2,province_fe,year_fe,cluster,controls
ppp_quality_zindex,A_idx,treat_share,262,0.46633371000732116,0.2709696546787477,0.00034641469364292746,0.3213672803089884,0.61407272650281,Yes,Yes,province,Yes
ppp_quality_zindex,A_idx,did_any,262,-0.0843804041773072,0.5852113236912295,0.00037956051959655256,0.2932248684488631,0.6141560859628281,Yes,Yes,province,Yes
ppp_quality_zindex,B_idx,treat_share,262,0.6521760561667592,0.22215946425990818,0.0004178081147343138,0.38943952086277067,0.614484926164703,Yes,Yes,province,Yes
ppp_quality_zindex,B_idx,did_any,262,-0.06710598398484828,0.6785108063830811,0.0003465545172362855,0.4530316244119722,0.6138318123241366,Yes,Yes,province,Yes
ppp_quality_zindex,C_idx,treat_share,262,0.5729360734785807,0.21562851101526015,9.045583237700237e-05,0.7414132255534467,0.6131313342290283,Yes,Yes,province,Yes
ppp_quality_zindex,C_idx,did_any,262,-0.0741796092731682,0.6265861528536866,5.6143344672362775e-05,0.8266240215213951,0.6128020891742929,Yes,Yes,province,Yes
ppp_quality_zindex,D_idx,treat_share,262,0.48226774944611206,0.25444121845122314,-0.0009513376821782452,0.17396339496129465,0.6167628509892259,Yes,Yes,province,Yes
ppp_quality_zindex,D_idx,did_any,262,-0.07655033497803576,0.6289886052173307,-0.000962598578722548,0.17011267418765408,0.6166948940813554,Yes,Yes,province,Yes
ppp_quality_zindex,ppp_governance_capacity_index,treat_share,262,0.7024638345932119,0.17868407171715694,0.06707843424316719,0.24463637949442318,0.6167114614641817,Yes,Yes,province,Yes
ppp_quality_zindex,ppp_governance_capacity_index,did_any,262,-0.06140472179526622,0.7158174191900313,0.06003688264174095,0.2859748365526058,0.6158210071365655,Yes,Yes,province,Yes
ppp_quality_zindex,ppp_norm_risk_index,treat_share,262,0.517526973499787,0.36468540180778375,-0.001935338882837839,0.9743202059918389,0.6128667205207057,Yes,Yes,province,Yes
ppp_quality_zindex,ppp_norm_risk_index,did_any,262,-0.080908462246948,0.5982911767669911,-0.009552302877545448,0.865048781655446,0.6127901770645008,Yes,Yes,province,Yes
exec_share,A_idx,treat_share,262,0.3073529820080749,0.008125807676010994,0.0002836186983231445,0.28295602480597715,0.8406677318664909,Yes,Yes,province,Yes
exec_share,A_idx,did_any,262,0.028766599914714235,0.3671247555277626,0.00029207872746786403,0.26834796576872566,0.8403700247985919,Yes,Yes,province,Yes
exec_share,B_idx,treat_share,262,0.3963998944401225,0.0002542393310384615,0.00013426126875878906,0.4976642266264575,0.839499415433296,Yes,Yes,province,Yes
exec_share,B_idx,did_any,262,0.03745120713145866,0.29784382041790447,0.00011274402144237959,0.5690352305083772,0.8390196244451791,Yes,Yes,province,Yes
exec_share,C_idx,treat_share,262,0.34702305516327286,0.00099770790589985,-1.6338262519255024e-05,0.8957048883583546,0.8392111828717578,Yes,Yes,province,Yes
exec_share,C_idx,did_any,262,0.032602506585993285,0.3475778583636534,-2.5059861039981904e-05,0.8417335395219742,0.8388394636642733,Yes,Yes,province,Yes
exec_share,D_idx,treat_share,262,0.33933418536908455,0.00030093931891565225,-0.0003602354669476946,0.27501575122330524,0.8402106766363469,Yes,Yes,province,Yes
exec_share,D_idx,did_any,262,0.034433546533724414,0.30235417997118963,-0.00036991184535717164,0.2612428007450316,0.8398735542743092,Yes,Yes,province,Yes
exec_share,ppp_governance_capacity_index,treat_share,262,0.39342826469185194,9.915227571201004e-05,0.014311941951796232,0.5053966083866548,0.8395134139881257,Yes,Yes,province,Yes
exec_share,ppp_governance_capacity_index,did_any,262,0.03737461000539639,0.31650469780365265,0.012318858581051103,0.5656709512872289,0.839040418738942,Yes,Yes,province,Yes
exec_share,ppp_norm_risk_index,treat_share,262,0.27330139440024276,0.041548394102887895,-0.020505802672623228,0.35322233190087193,0.8399485488874032,Yes,Yes,province,Yes
exec_share,ppp_norm_risk_index,did_any,262,0.026038183758487984,0.4003315298199611,-0.02239978565242336,0.29867720098476724,0.8397271798692578,Yes,Yes,province,Yes
proc_share,A_idx,treat_share,262,-0.35750115105310576,0.001891595985158161,-0.0002630653297960927,0.3101983365180825,0.844950814194114,Yes,Yes,province,Yes
proc_share,A_idx,did_any,262,-0.0760318775208307,0.03811287206526963,-0.00026615226655541204,0.29951678682512006,0.8452902133544139,Yes,Yes,province,Yes
proc_share,B_idx,treat_share,262,-0.43297586652934467,3.981743175163745e-05,-0.00010108859832801501,0.6004533237439893,0.8438744742923371,Yes,Yes,province,Yes
proc_share,B_idx,did_any,262,-0.083548220544107,0.02207355304780572,-8.946262198086889e-05,0.6471905791447927,0.844144337258323,Yes,Yes,province,Yes
proc_share,C_idx,treat_share,262,-0.36950035499622674,0.0006581972750449782,6.223627899247889e-05,0.6064298749009497,0.843931746079059,Yes,Yes,province,Yes
proc_share,C_idx,did_any,262,-0.07705179004491447,0.03733741321386603,6.493662068800245e-05,0.5969760692119566,0.8442592576150703,Yes,Yes,province,Yes
proc_share,D_idx,treat_share,262,-0.38526300716686257,3.398112892678576e-05,0.000376175252039585,0.20581258972980743,0.8447939100744968,Yes,Yes,province,Yes
proc_share,D_idx,did_any,262,-0.08124501593104487,0.017132022110372153,0.00038799815915196344,0.19558458256280487,0.8451692340496789,Yes,Yes,province,Yes
proc_share,ppp_governance_capacity_index,treat_share,262,-0.4176795039583456,0.00020991414864973684,-0.0058314687927355086,0.8102970712869098,0.8437568499187049,Yes,Yes,province,Yes
proc_share,ppp_governance_capacity_index,did_any,262,-0.0821741852045433,0.025876238927069823,-0.004870616017535478,0.8402200484668461,0.8440460468415105,Yes,Yes,province,Yes
proc_share,ppp_norm_risk_index,treat_share,262,-0.29353285896680825,0.028856726595628435,0.027086065876225807,0.24539814792364645,0.8449975339295986,Yes,Yes,province,Yes
proc_share,ppp_norm_risk_index,did_any,262,-0.07089747520094342,0.06954892761371259,0.02779139944096557,0.224651462368039,0.8454106219649582,Yes,Yes,province,Yes
