ln_invest,year,risk_text_count,项目概况_len,合作范围_len,批复意见_len,所在区域(省),所属行业(一级行业),所属行业(二级行业),运作方式,回报机制,采购方式,y_true,prob_Logistic,pred_Logistic,prob_RandomForest,pred_RandomForest,prob_XGBoost,pred_XGBoost,prob_LightGBM,pred_LightGBM,prob_CatBoost,pred_CatBoost,prob_Blending(RF+XGB+LGBM+CATB),pred_Blending(RF+XGB+LGBM+CATB)
25.411903812169125,2017,1,337,105,33,湖北省,市政工程,市政道路,BOT,可行性缺口补助,公开招标,0,0.4435079390385778,0,0.14935225436517768,0,0.15662257,0,0.14706023445623315,0,0.1555011731078507,0,0.15213405891564782,0
25.10097416113677,2019,5,193,251,231,广东省,市政工程,污水处理,BOT,政府付费,公开招标,0,0.4491056285201508,0,0.1643902690770468,0,0.16901165,0,0.09358333045990515,0,0.19736721682655187,0,0.1560881172082847,0
24.738567191846094,2017,5,109,221,413,江西省,市政工程,其他,BOT,可行性缺口补助,公开招标,0,0.07233373737527812,0,0.1471902977490669,0,0.057926685,0,0.038988300177453444,0,0.04605924905420167,0,0.07254113289967956,0
25.716249859926155,2021,1,376,110,63,河北省,城镇综合开发,城镇化建设,BOT,可行性缺口补助,公开招标,1,0.9121848815161836,1,0.4406441868854597,0,0.8151064,1,0.8888011454468084,1,0.7475584109426298,1,0.7230275337954091,1
25.178934585290406,2016,0,210,273,2,河南省,生态建设和环境保护,综合治理,BOT,政府付费,公开招标,0,0.20393147500255523,0,0.13384742637895206,0,0.056920134,0,0.06014417231456608,0,0.054721644221719705,0,0.07640834411158286,0
26.19065064461421,2017,0,226,126,24,江苏省,旅游,文化旅游,其他,可行性缺口补助,竞争性磋商,0,0.3363359918198381,0,0.1508973560936605,0,0.09535833,0,0.08445023258207233,0,0.08527362031702035,0,0.10399488400597219,0
24.01390402807873,2018,1,173,60,3,河北省,能源,垃圾发电,其他,可行性缺口补助,公开招标,0,0.6347202739105142,1,0.17237924604551474,0,0.16405697,0,0.2125618624634276,0,0.1471484018651607,0,0.17403662051082502,0
24.43873658783783,2017,4,203,305,37,辽宁省,政府基础设施,其他,BOT,可行性缺口补助,公开招标,0,0.7121835707777499,1,0.3249378792946949,0,0.41993725,0,0.47823364058042045,0,0.28468937791377125,0,0.3769495376968096,0
23.57519298050446,2018,3,295,199,8,山西省,交通运输,其他,ROT,政府付费,公开招标,0,0.5328243834870993,1,0.1417550150264957,0,0.25669828,0,0.3441779211397491,0,0.2399857233405316,0,0.2456542350199169,0
24.401447523471173,2021,0,301,305,4,福建省,政府基础设施,政府基础设施,BOT,可行性缺口补助,公开招标,1,0.7084067886892489,1,0.42890267846372665,0,0.59537387,1,0.4610291761520409,0,0.6190234562947813,1,0.5260822949632024,1
