outcome,province_excluded,nobs,coef,se,pval,delta_vs_full_sample,abs_delta_vs_full_sample,sign_flip,sig_jump_5pct
exec_share,上海,256,0.3536714079041875,0.09892715334841817,0.001250716227348215,-0.006318901569224045,0.006318901569224045,False,False
exec_share,云南,254,0.3535095811553971,0.10727716661998016,0.0025982895852682715,-0.006480728318014439,0.006480728318014439,False,False
exec_share,内蒙古,253,0.3751658027722916,0.09581945677865682,0.0005032192674120697,0.015175493298880072,0.015175493298880072,False,False
exec_share,北京,253,0.3459563076812567,0.0999775893701168,0.0016916508744803586,-0.01403400179215486,0.01403400179215486,False,False
exec_share,吉林,253,0.36255143879376384,0.11952950028705117,0.005061686976417391,0.0025611293203522956,0.0025611293203522956,False,False
exec_share,四川,253,0.34395581335730335,0.10647099118217744,0.003069230006252451,-0.016034496116108188,0.016034496116108188,False,False
exec_share,天津,255,0.39682417798048464,0.11081695873802863,0.0012315835568548204,0.0368338685070731,0.0368338685070731,False,False
exec_share,宁夏,255,0.3656428137099472,0.11679307751394186,0.003958532134610908,0.005652504236535683,0.005652504236535683,False,False
exec_share,安徽,253,0.3636836832431993,0.10723423909483282,0.002024903496997027,0.0036933737697877334,0.0036933737697877334,False,False
exec_share,山东,253,0.3529846447215236,0.10218635107734303,0.0017185137411107414,-0.007005664751887963,0.007005664751887963,False,False
exec_share,山西,253,0.3669413397833781,0.10730645770590053,0.001881987878777826,0.006951030309966577,0.006951030309966577,False,False
exec_share,广东,253,0.3688650731478976,0.10164422330697866,0.0010842223022463726,0.008874763674486086,0.008874763674486086,False,False
exec_share,广西,253,0.372122100028634,0.0997624132146036,0.0008281771943198284,0.012131790555222455,0.012131790555222455,False,False
exec_share,新疆,253,0.4345081870376022,0.11670921178171764,0.0008440118934020093,0.07451787756419065,0.07451787756419065,False,False
exec_share,江苏,253,0.35495912189342477,0.10053351319111252,0.001405922977528101,-0.005031187579986773,0.005031187579986773,False,False
exec_share,江西,253,0.2668302393145768,0.2782983469313212,0.34558944792280577,-0.09316007015883476,0.09316007015883476,False,True
exec_share,河北,253,0.34096849858484324,0.09810027228666669,0.001624825113035934,-0.019021810888568302,0.019021810888568302,False,False
exec_share,河南,253,0.35476168709883854,0.10372354416937557,0.0018785642388579533,-0.005228622374573,0.005228622374573,False,False
exec_share,浙江,253,0.338301460606224,0.10415722379217697,0.0029346772094791134,-0.021688848867187527,0.021688848867187527,False,False
exec_share,海南,253,0.36302999988248963,0.10102021360513942,0.0011907484152575327,0.0030396904090780885,0.0030396904090780885,False,False
exec_share,湖北,253,0.3558691598424812,0.10753824470604757,0.0025064354457636244,-0.004121149630930354,0.004121149630930354,False,False
exec_share,湖南,254,0.3618413735334478,0.09120508486799055,0.00043713722308898846,0.0018510640600362671,0.0018510640600362671,False,False
exec_share,甘肃,253,0.3744558826709649,0.09187402297808825,0.00032555981766861744,0.014465573197553372,0.014465573197553372,False,False
exec_share,福建,253,0.3539046861988569,0.10253558363261502,0.0017311227515834225,-0.006085623274554641,0.006085623274554641,False,False
exec_share,西藏,259,0.36447167693142635,0.09658438329846453,0.0007370696925520129,0.004481367458014807,0.004481367458014807,False,False
exec_share,贵州,253,0.3672624808678986,0.10510135566822808,0.0015471885092830334,0.007272171394487048,0.007272171394487048,False,False
exec_share,辽宁,253,0.3413672135553301,0.10816812903827881,0.0037131832449188514,-0.018623095918081423,0.018623095918081423,False,False
exec_share,重庆,253,0.32563831451751235,0.08925203937658326,0.0010293613832162193,-0.03435199495589919,0.03435199495589919,False,False
exec_share,陕西,253,0.3432472656470105,0.10502998862546462,0.002786924707158979,-0.016743043826401016,0.016743043826401016,False,False
exec_share,青海,255,0.37893029046001536,0.1047844858650853,0.001121386117740664,0.01893998098660382,0.01893998098660382,False,False
exec_share,黑龙江,253,0.3707928491272579,0.09791488828525464,0.0007112739048475092,0.010802539653846366,0.010802539653846366,False,False
proc_share,上海,256,-0.40100877388180517,0.1018382381347179,0.00047367773440047645,0.005528423754136258,0.005528423754136258,False,False
proc_share,云南,254,-0.40328087499568216,0.10682461094493102,0.0007339940098507801,0.003256322640259268,0.003256322640259268,False,False
proc_share,内蒙古,253,-0.42052223740787853,0.09712730321782781,0.00016243872244836775,-0.013985039771937102,0.013985039771937102,False,False
proc_share,北京,253,-0.3954865597943844,0.10194396158864881,0.0005544444412771913,0.01105063784155702,0.01105063784155702,False,False
proc_share,吉林,253,-0.4330545675846016,0.12035776463185256,0.0011768789462549023,-0.026517369948660163,0.026517369948660163,False,False
