outcome,mediator,N,a,a_se_cluster,a_p,b,b_se_cluster,b_p,indirect_effect_ab,c_total,c_total_p,c_direct,c_direct_p,sobel_se,sobel_z,sobel_p,boot_mean,boot_se,boot_ci_low,boot_ci_high,boot_p_sign,bootstrap_reps,cluster_unit,fe
exec_share,A_idx,262,175.57503379536934,36.13705584239795,1.1822638986532293e-06,0.00023622592274467137,0.00025591322746096464,0.35597052394965556,0.04147537436923798,0.3694094839478662,0.0003461528032028953,0.3279341095786265,0.0029488835943200357,0.045735699842581114,0.9068490153642154,0.36448664569860867,0.014509675330632625,0.125537635315764,-0.2792115607589124,0.16343801446390577,0.514,1000,province,province + year
proc_share,A_idx,262,175.57503379536934,36.13705584239795,1.1822638986532293e-06,-0.00022290527737708432,0.0002480651113917411,0.3688787149252051,-0.03913660160864776,-0.40992579669746015,0.00012568932366384668,-0.37078919508881314,0.0008801799914614496,0.044292659839084814,-0.8835911356606487,0.3769169659080145,-0.014341567168088128,0.11685317991261539,-0.15726526596164908,0.2644867112047006,0.524,1000,province,province + year
ppp_quality_zindex,A_idx,262,175.57503379536934,36.13705584239795,1.1822638986532293e-06,0.00023127962232297677,0.0003498975752112843,0.5086172162081826,0.040606927505536905,0.530599076095545,0.2134095009401059,0.48999214858998663,0.24874882512625374,0.06199919312541661,0.654958967343239,0.512494172911095,0.012002313658346904,0.21790125417883688,-0.41581304255743184,0.20123875264251484,0.596,1000,province,province + year
