depvar,spec,n,coef,se,z,p_norm,r2,official_coef,official_se,official_p,coef_gap_vs_official_53,se_gap_vs_official_53,p_gap_vs_official_53
exec_share,baseline,262,0.355627705482334,0.10016361311402798,3.550468023527479,0.0003845468475676128,0.8391952879992306,0.3556277047526408,0.1001636129981076,0.0003845468522075,7.296931947564644e-10,1.1592038440255692e-10,-4.6398871615498105e-12
proc_share,baseline,262,-0.40227748799594565,0.10190900445979996,-3.9474184850332046,7.89984021292156e-05,0.8437049043771,-0.4022774860927093,0.1019090046565017,7.899841080299854e-05,-1.9032363463011848e-09,-1.9670173823094217e-10,-8.673782937555774e-12
ppp_quality_zindex,baseline,262,0.5252969367347973,0.4213976848198769,1.246558668112596,0.2125593648068791,0.6128630254535706,0.5252969355953995,0.4213976844677991,0.2125593654167483,1.1393977983331638e-09,3.520777558385646e-10,-6.098692106881742e-10
exec_share,trend_adjusted,262,0.23905783415447945,0.1753210618080019,1.3635431572749495,0.1727113926972288,0.870868313735974,0.3556277047526408,0.1001636129981076,0.0003845468522075,,,
proc_share,trend_adjusted,262,-0.36048875486762655,0.175153590787003,-2.0581294008753837,0.039577713393378566,0.8748136355605065,-0.4022774860927093,0.1019090046565017,7.899841080299854e-05,,,
ppp_quality_zindex,trend_adjusted,262,-0.11152652152913728,0.4284265185630726,-0.2603165693458782,0.7946195925859221,0.6751563708337838,0.5252969355953995,0.4213976844677991,0.2125593654167483,,,
