depvar,spec,n,coef,se,z,p_norm,r2
exec_share,baseline,262,0.355627705482334,0.10016361311402798,3.550468023527479,0.0003845468475676128,0.8391952879992306
proc_share,baseline,262,-0.40227748799594565,0.10190900445979996,-3.9474184850332046,7.89984021292156e-05,0.8437049043771
ppp_quality_zindex,baseline,262,0.5252969367347973,0.4213976848198769,1.246558668112596,0.2125593648068791,0.6128630254535706
exec_share,trend_adjusted,262,0.23905783415447945,0.1753210618080019,1.3635431572749495,0.1727113926972288,0.870868313735974
proc_share,trend_adjusted,262,-0.36048875486762655,0.175153590787003,-2.0581294008753837,0.039577713393378566,0.8748136355605065
ppp_quality_zindex,trend_adjusted,262,-0.11152652152913728,0.4284265185630726,-0.2603165693458782,0.7946195925859221,0.6751563708337838
