province,year,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,text_missing,text_observed,province_harmonized,window_flag,region_scheme
云南,2015,4.0,24782.0,450.0,11.0,4.438705512065209,0.0,4.0,1.614074731660076,0.0,51.0,20.579452828665968,0.0,30.0,12.105560487450568,0.75,30.0,12.105560487450568,0.0,140.0,56.49261560810265,0.25,281.0,113.38874989912031,0.0,137.0,55.2820595593576,0.0,303.0,122.26616092325074,0.0,6.0,2.4211120974901137,0.0,37.0,14.930191267855704,0.0,51.0,20.579452828665968,0.0,66.0,26.63223307239125,0.0,200.0,80.7037365830038,1.0,721.0,290.93697038172866,0.0,94.0,37.930756194011785,0.0,-0.1759436820473739,0.3171050569374589,1.3561015305940634,0.0267320477979893,0.4990876351613828,0.5666462117765039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,1,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
云南,2016,7.0,38575.0,641.0,25.0,6.480881399870382,0.0,6.0,1.5554115359688918,0.0,70.0,18.14646791963707,0.0,49.0,12.702527543745951,0.2857142857142857,43.0,11.147116007777058,0.1428571428571428,112.0,29.03434867141932,0.1428571428571428,64.0,16.591056383668178,0.2857142857142857,84.0,21.77576150356448,0.0,380.0,98.5093972780298,0.1428571428571428,35.0,9.073233959818536,0.0,41.0,10.628645495787428,0.0,119.0,30.848995463383023,0.0,101.0,26.182760855476342,0.0,204.0,52.88399222294232,0.5714285714285714,528.0,136.8762151652625,0.4285714285714285,195.0,50.55087491898898,0.0,-0.1838244247646593,-0.2418523162504975,-0.4802128473754146,0.3849882268703595,-0.3019631961301904,-0.1123589789185175,0.0,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0,1,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
云南,2017,9.0,18489.0,281.0,3.0,1.6225864027259451,0.0,4.0,2.163448536967927,0.0,20.0,10.817242684839634,0.1111111111111111,12.0,6.4903456109037805,0.6666666666666666,33.0,17.848450429985395,0.0,62.0,33.53345232300287,0.2222222222222222,52.0,28.12483098058305,0.0,31.0,16.766726161501435,0.0,276.0,149.27794905078696,0.0,3.0,1.6225864027259451,0.0,3.0,1.6225864027259451,0.0,36.0,19.47103683271134,0.0,27.0,14.603277624533506,0.1111111111111111,107.0,57.87224836389204,0.8888888888888888,359.0,194.16950619287144,0.0,42.0,22.716209638163235,0.0,-0.3868512742739278,-0.1416277234847649,0.2026897771597093,-0.4051739773512977,-0.1085964068663277,-0.1147039745587844,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0,1,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
云南,2018,6.0,36287.0,384.0,83.0,22.87320528012787,0.0,19.0,5.236034943643729,0.0,273.0,75.23355471656515,0.0,4.0,1.1023231460302587,0.5,24.0,6.613938876181552,0.0,81.0,22.32204370711274,0.3333333333333333,767.0,211.3704632513021,0.0,48.0,13.227877752363105,0.0,245.0,67.51729269435334,0.1666666666666666,1.0,0.2755807865075647,0.0,11.0,3.031388651583212,0.0,74.0,20.392978201559785,0.0,375.0,103.34279494033674,0.0,109.0,30.038305729324552,0.8333333333333334,1060.0,292.1156336980186,0.1666666666666666,86.0,23.699947639650564,0.0,1.1690475744291629,-0.70087036997067,1.3701505101115743,-0.3772479153782336,0.6127759048566891,0.0973440749208902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,1,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
云南,2019,2.0,7446.0,99.0,2.0,2.686005909213,0.0,0.0,0.0,0.0,5.0,6.715014773032501,0.0,4.0,5.372011818426,0.0,5.0,6.715014773032501,0.0,15.0,20.1450443190975,0.5,7.0,9.401020682245502,0.0,24.0,32.232070910556004,0.0,156.0,209.508460918614,0.5,0.0,0.0,0.0,2.0,2.686005909213,0.0,17.0,22.831050228310502,0.0,7.0,9.401020682245502,0.0,24.0,32.232070910556004,0.5,187.0,251.1415525114155,0.5,19.0,25.5170561375235,0.0,-0.4780641389817472,-0.6567929978991738,0.8817633520626044,-0.3256643794706451,-0.0843645949394388,-0.0335646751024048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
云南,2020,1.0,587.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.07155025553663,0.0,2.0,34.07155025553663,0.0,10.0,170.35775127768312,1.0,1.0,17.035775127768314,0.0,0.0,0.0,0.0,13.0,221.46507666098807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,102.21465076660988,0.0,0.0,0.0,0.0,14.0,238.5008517887564,1.0,14.0,238.5008517887564,0.0,6.0,102.21465076660988,0.0,-0.6428952953659487,3.487582106276164,0.7310935695341909,1.8516041387308488,1.1919267934814686,2.023426604847068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
云南,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
云南,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,云南,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
内蒙古,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,内蒙古,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
内蒙古,2015,18.0,41135.0,574.0,33.0,8.022365382277865,0.0,6.0,1.4586118876868843,0.0,50.0,12.155099064057373,0.0555555555555555,23.0,5.591345569466391,0.5,68.0,16.530934727118026,0.0555555555555555,119.0,28.929135772456544,0.0555555555555555,78.0,18.9619545399295,0.0,77.0,18.718852558648354,0.1666666666666666,467.0,113.52862525829585,0.1666666666666666,7.0,1.7017138689680322,0.0,19.0,4.618937644341801,0.0,47.0,11.42579312021393,0.0,89.0,21.636076334022125,0.0555555555555555,210.0,51.05141606904096,0.6111111111111112,622.0,151.2094323568737,0.3333333333333333,73.0,17.746444633523762,0.0,-0.26354292477826,-0.2786726385329028,-0.309369255348794,-0.5462541890553231,-0.2838616062199857,-0.3780986943123399,0.0,0.0,0.0,0.0555555555555555,0.0,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0,0.0,0.2777777777777778,0.1666666666666666,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0555555555555555,0.1111111111111111,0.0,0,1,内蒙古,DID主识别窗口_2014_2022,方案2：31省区市+新疆生产建设兵团；不含中央
