province,year,city_n,treat_share,treated_city_count_implied,post,did_intensity,did_any,baseline_sample_5_3,baseline_controls_complete
山西,2022,11.0,0.1818181818181818,2.0,1,0.1818181818181818,1,1,1
广东,2014,21.0,0.1904761904761904,4.0,0,0.0,0,1,1
广东,2015,21.0,0.1904761904761904,4.0,0,0.0,0,1,1
广东,2016,21.0,0.1904761904761904,4.0,1,0.1904761904761904,1,1,1
广东,2017,21.0,0.1904761904761904,4.0,1,0.1904761904761904,1,1,1
广东,2018,21.0,0.1904761904761904,4.0,1,0.1904761904761904,1,1,1
广东,2019,21.0,0.1904761904761904,4.0,1,0.1904761904761904,1,1,1
广东,2020,21.0,0.1904761904761904,4.0,1,0.1904761904761904,1,1,1
广东,2021,21.0,0.1904761904761904,4.0,1,0.1904761904761904,1,1,1
广东,2022,21.0,0.1904761904761904,4.0,1,0.1904761904761904,1,1,1
广西,2014,14.0,0.2142857142857142,3.0,0,0.0,0,1,1
广西,2015,14.0,0.2142857142857142,3.0,0,0.0,0,1,1
广西,2016,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
广西,2017,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
广西,2018,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
广西,2019,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
广西,2020,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
广西,2021,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
广西,2022,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
新疆,2014,14.0,0.1428571428571428,2.0,0,0.0,0,1,1
新疆,2015,14.0,0.1428571428571428,2.0,0,0.0,0,1,1
新疆,2016,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
新疆,2017,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
新疆,2018,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
新疆,2019,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
新疆,2020,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
新疆,2021,,0.0,,0,0.0,0,1,1
