序号,文件名,text_len,A1_pred,A2_pred,B1_pred,B2_pred,B3_pred,B4_pred,C1_pred,C2_pred,C3_pred,A1_score,A2_score,B1_score,B2_score,B3_score,B4_score,C1_score,C2_score,C3_score
322,海口市人民政府关于印发《海口市政府投资项目...(FBM-CLI.12.1614673).txt,9379,0,1,1,1,1,1,0,0,0,-0.9218024924209338,0.6355136348566555,1.0798928388292022,0.612998774550984,1.199055210021082,0.797659603614003,-0.2839278150411299,-0.4728480114669442,-0.9617119905305094
323,海南省人民政府办公厅关于加快推进政府和社会...(FBM-CLI.14.4789110).txt,4506,1,1,1,1,1,1,1,0,0,0.634362027731544,1.0311070123485444,1.0500017066312561,1.04589312018304,0.6348387621329243,1.083177883304831,1.0432222756028051,-0.050392738596389375,-0.2952115657316755
324,海南省财政厅关于提前下达2022年海南省推广政府...(FBM-CLI.14.6826328).txt,4536,0,1,1,1,1,1,0,0,0,-0.9619337638661293,0.5519703672230294,0.25114534210160205,0.0011994701667461805,0.21418267539904418,0.5371406652112581,-0.12912893023447874,-0.8922503114436084,-0.6033354440407461
325,海口市人民政府办公室关于印发《海口市政府投...(FBM-CLI.12.6989541).txt,8871,0,1,1,1,1,1,0,0,0,-0.7697069548015751,0.6576792439360185,1.0227065733966694,0.5381856808257528,0.9973210762203693,0.9036369151675123,-0.4212657003320774,-0.5810598564781098,-0.9394576277753606
326,海南省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7450036).txt,2464,0,1,1,0,0,1,0,0,0,-0.5278843754965594,0.7133830794693659,0.37412977752232546,-0.032591040636974274,-0.053317224118355266,0.7485510698096889,-0.3356039751388576,-0.5451628059454285,-1.0053640146135703
327,东阳市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.8257822).txt,6838,0,1,1,1,1,1,1,1,0,-0.05442024477215979,0.3424237009373404,0.7263410915160606,0.4970484244077746,0.8980172860226079,0.5802034618979747,0.28578253691761013,0.5625828507613326,-0.8577773663986425
328,丽水市人民政府关于促进社会资本进入公共设施...(FBM-CLI.12.1087283).txt,9630,0,1,1,1,1,1,0,1,0,-0.7545240465871856,0.999017097926107,0.9755817826504691,0.7820478533958113,0.9506977824121929,0.7988879493511425,-0.6103293335405023,0.7628404600128493,-0.9092165197330329
329,丽水市人民政府办公室关于成立政府和社会资本...(FBM-CLI.14.1890693).txt,472,0,0,1,0,1,1,0,0,0,-0.8047217308124504,-0.02852302867436607,0.7485298254727919,-0.12599466299720147,0.30994776875946056,0.2585782936287352,-0.14528205761500954,-0.07208688536012436,-0.6819682891256681
330,丽水市莲都区人民政府关于成立政府和社会资本...(FBM-CLI.14.8307910).txt,588,0,1,1,0,1,1,0,0,0,-0.7316595316219696,0.1438775741204923,0.7569864108382505,-0.1549973738621963,0.3401931242068691,0.3687939883627923,-0.21543546618103893,-0.06220850523555749,-0.6814003488276472
331,义乌市人民政府办公室关于印发《义乌市关于推...(FBM-CLI.12.8265526).txt,10970,0,1,1,1,1,1,0,1,0,-0.21469347848737808,0.9507123012129584,0.9436649951850563,0.9092534857134096,1.0193223500939128,0.865440567717191,-0.4704196444727212,0.8894869239609029,-0.9792959555134357
332,乐清市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.8126581).txt,4573,1,1,1,1,1,1,1,1,0,0.04035128890791051,0.44640452458579005,0.6095033681808237,0.6842340140307999,0.853393303932379,0.40284590246168916,0.2929989375146612,0.008446725886965267,-0.5052525390642316
333,乐清市人民政府办公室关于建立乐清市政府与社...(FBM-CLI.14.8127287).txt,450,0,1,1,0,1,0,0,0,0,-0.8133110795703393,0.06782491932749601,0.7376272612292214,-0.0666928154468958,0.33278818914741914,-0.06350870804351699,-0.18071689840220168,-0.10780659074929219,-0.5942752164494944
334,云和县人民政府办公室关于成立云和县推进政府...(FBM-CLI.14.8316848).txt,705,0,1,1,0,1,1,0,0,0,-0.7468426847177823,0.019717272570472122,0.6581375603301128,-0.23361552825571505,0.1659760076041327,0.19516486793840027,-0.3240691946886265,-0.1979171929908092,-0.6586896577417105
335,天台县人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.8297630).txt,3845,0,1,1,1,1,1,1,1,0,-0.012173987734834857,1.0679137966313736,0.9985170178451468,0.83799509357673,0.9617341654097626,0.8231981395982069,0.25411374392303776,0.7814359592943432,-0.8397512559349136
336,奉化市人民政府办公室关于推广运用政府与社会...(FBM-CLI.12.8353776).txt,7644,1,1,1,1,1,1,1,1,0,0.519036892219931,0.8059397767819947,0.895717183631091,0.8965917060621347,1.0255000252055102,0.8543683999193177,0.7215805994032585,0.9519839163073793,-1.052473649079656
