序号,一级子文件夹,province,相对路径,文件名,year,topic,topic_name,topic_main_dimension,topic_secondary_code,topic_secondary_name,topic_match_strength,char_len,sentence_count,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,z_A_idx,A_share,B_cnt,B_idx,z_B_idx,B_share,C_cnt,C_idx,z_C_idx,C_share,D_cnt,D_idx,z_D_idx,D_share,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,ppp_governance_capacity_index,ppp_norm_risk_index,text_observed,text_missing
123,辽宁省（56）,辽宁,辽宁省（56）\2018年（4）\辽阳市人民政府关于印发辽阳市政府和社会资本...(FBM-CLI.12.1445924).txt,辽阳市人民政府关于印发辽阳市政府和社会资本...(FBM-CLI.12.1445924).txt,2018.0,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875,4934,90,1,2.026753141467369,0.0,0,0.0,0.0,12,24.321037697608432,0.0,3,6.080259424402108,1.0,5,10.133765707336844,0.0,43,87.15038508309688,0.0,22,44.58856911228212,0.0,44,89.17713822456425,0.0,104,210.7823267126064,0.0,0,0.0,0.0,9,18.240778273206324,0.0,12,24.321037697608432,0.0,13,26.3477908390758,-0.0807588335365957,0.0,51,103.36441021483584,0.7510526176065909,1.0,170,344.5480340494528,1.689868455218327,0.0,21,42.56181597081476,0.334461939808404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867207464294408,0.925127670877774,1,0
124,辽宁省（56）,辽宁,辽宁省（56）\2018年（4）\鞍山市财政局关于选聘政府和社会资本合作项目...(FBM-CLI.14.1509089).txt,鞍山市财政局关于选聘政府和社会资本合作项目...(FBM-CLI.14.1509089).txt,2018.0,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.625,1497,29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,20.04008016032064,1.0,2,13.36005344021376,0.0,2,13.36005344021376,0.0,1,6.680026720106881,0.0,3,20.04008016032064,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,0.0,5,33.4001336005344,-0.4788684251505739,1.0,6,40.08016032064128,-1.1795266006883018,0.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7534034880203851,-0.8413771990454091,1,0
125,辽宁省（56）,辽宁,辽宁省（56）\2019年（3）\辽宁省十三届人大二次会议《关于加快实施本桓...(FBM-CLI.14.5248562).txt,辽宁省十三届人大二次会议《关于加快实施本桓...(FBM-CLI.14.5248562).txt,2019.0,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625,1448,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.906077348066298,0.0,2,13.812154696132596,0.0,2,13.812154696132596,1.0,0,0.0,0.0,0,0.0,0.0,24,165.74585635359117,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,0.0,5,34.530386740331494,-0.4589993978762371,1.0,24,165.74585635359117,0.0047839883992781,0.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3520102825664128,-0.4399839935914367,1,0
126,辽宁省（56）,辽宁,辽宁省（56）\2019年（3）\辽宁省政协十二届二次会议《关于加快推进本(...(FBM-CLI.14.5248671).txt,辽宁省政协十二届二次会议《关于加快推进本(...(FBM-CLI.14.5248671).txt,2019.0,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625,1281,20,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.8064012490242,0.0,2,15.6128024980484,0.0,2,15.6128024980484,1.0,0,0.0,0.0,0,0.0,0.0,22,171.74082747853242,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,0.0,5,39.032006245121,-0.3798642045553795,1.0,22,171.74082747853242,0.0612823647157599,0.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3067990926872998,-0.3947728037123236,1,0
127,辽宁省（56）,辽宁,辽宁省（56）\2019年（3）\辽宁省政协十二届二次会议《关于加快推进本溪...(FBM-CLI.14.5248663).txt,辽宁省政协十二届二次会议《关于加快推进本溪...(FBM-CLI.14.5248663).txt,2019.0,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625,1456,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.868131868131869,0.0,2,13.736263736263735,0.0,2,13.736263736263735,1.0,0,0.0,0.0,0,0.0,0.0,21,144.23076923076923,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,0.0,5,34.34065934065934,-0.4623346674243064,1.0,21,144.23076923076923,-0.1979805393045973,0.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4207102149837278,-0.5086839260087517,1,0
128,辽宁省（56）,辽宁,辽宁省（56）\2022年（2）\沈阳市人民政府关于进一步深化预算管理制度改...(FBM-CLI.12.5706661).txt,沈阳市人民政府关于进一步深化预算管理制度改...(FBM-CLI.12.5706661).txt,2022.0,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375,8305,256,13,15.653220951234196,0.0,6,7.224563515954244,0.0,28,33.71462974111981,0.0,5,6.020469596628537,1.0,14,16.857314870559904,0.0,12,14.449127031908487,0.0,10,12.040939193257074,0.0,3,3.612281757977122,0.0,53,63.81697772426249,0.0,16,19.26550270921132,0.0,3,3.612281757977122,0.0,42,50.57194461167971,0.0,47,56.59241420830825,0.5173619295672885,0.0,31,37.32691149909693,-0.409838528732141,1.0,66,79.47019867549669,-0.808303259705975,0.0,61,73.44972907886816,1.2054686503507874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2335932862902758,-0.0042243793624428,1,0
129,辽宁省（56）,辽宁,辽宁省（56）\2022年（2）\辽宁省人民政府关于进一步深化预算管理制度改...(FBM-CLI.12.5131397).txt,辽宁省人民政府关于进一步深化预算管理制度改...(FBM-CLI.12.5131397).txt,2022.0,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375,9855,217,16,16.235413495687467,0.0,6,6.088280060882801,0.0,17,17.250126839167937,0.0,9,9.1324200913242,1.0,13,13.191273465246068,0.0,15,15.220700152207002,0.0,16,16.235413495687467,0.0,4,4.058853373921867,0.0,57,57.8386605783866,0.0,19,19.27955352612887,0.0,6,6.088280060882801,0.0,46,46.67681380010147,0.0,39,39.57382039573821,0.1808004788307385,0.0,37,37.54439370877727,-0.4060153498320608,1.0,77,78.13292744799594,-0.8209060982307864,0.0,71,72.04464738711314,1.1658468222882186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3487069897440362,-0.0203582085915428,1,0
130,辽宁省（56）,辽宁,辽宁省（56）\2023年（1）\阜新市人民政府关于印发进一步深化预算管理制...(FBM-CLI.12.7061173).txt,阜新市人民政府关于印发进一步深化预算管理制...(FBM-CLI.12.7061173).txt,2023.0,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375,8126,158,10,12.306177701206003,0.0,3,3.691853310361801,0.0,26,31.99606202313561,0.0,5,6.153088850603003,1.0,11,13.536795471326606,0.0,16,19.689884321929608,0.0,20,24.61235540241201,0.0,1,1.2306177701206005,0.0,78,95.98818606940684,0.0,6,7.383706620723602,0.0,2,2.461235540241201,0.0,38,46.76347526458282,0.0,39,47.99409303470343,0.3473206511891766,0.0,32,39.379768643859215,-0.373750794787052,1.0,99,121.83115924193945,-0.4090810714199591,0.0,46,56.60841742554763,0.73056134880981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1451704050059448,-0.017423505799067,1,0
131,辽宁省（56）,辽宁,辽宁省（56）\2024年（1）\辽宁省财政厅关于印发《辽宁省政府和社会资本...(FBM-CLI.12.7654838).txt,辽宁省财政厅关于印发《辽宁省政府和社会资本...(FBM-CLI.12.7654838).txt,2024.0,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.125,152,1,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,197.3684210526316,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.6018154382222797,1.0,0,0.0,-1.0660184556248518,0.0,3,197.3684210526316,0.3028043663500031,0.0,0,0.0,-0.8657365712973513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4550098424990427,-0.5429835535240667,1,0
132,贵州 25,贵州,贵州 25\2015（6）\六盘水市人民政府办公室转发市财政局关于六盘...(FBM-CLI.12.1155128).txt,六盘水市人民政府办公室转发市财政局关于六盘...(FBM-CLI.12.1155128).txt,2015.0,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0,5274,103,3,5.688282138794084,0.0,0,0.0,0.0,16,30.337504740235115,0.0,17,32.23359878649981,0.0,6,11.376564277588168,0.0,15,28.441410693970425,0.0,8,15.168752370117558,0.0,31,58.77891543420554,1.0,86,163.06408797876375,0.0,0,0.0,0.0,23,43.61016306408799,0.0,15,28.441410693970425,0.0,19,36.0257868790292,0.1106342053538138,0.0,38,72.0515737580584,0.2005957511843924,0.0,125,237.01175578308684,0.6764148470949726,1.0,38,72.05157375805841,1.1660421386746616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3292149345443929,0.6810175789846755,1,0
