province,year,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,text_missing,text_observed
上海,2016.0,1,4489,67,3,6.683002895967921,0.0,0,0.0,0.0,12,26.732011583871685,0.0,4,8.91067052795723,0.0,4,8.91067052795723,0.0,19,42.32568500779684,0.0,5,11.138338159946535,0.0,22,49.00868790376476,1.0,83,184.89641345511248,0.0,1,2.2276676319893074,0.0,18,40.09801737580753,0.0,13,28.959679215860994,0.0,15,33.415014479839606,0.0,27,60.147026063711294,0.0,110,245.0434395188238,1.0,32,71.28536422365784,0.0,-0.0570189673084284,-0.0959226389512454,0.8090774006595711,0.9735927459868,0.2187119314666324,0.5622491692317085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
上海,2017.0,1,4029,74,6,14.892032762472075,0.0,1,2.482005460412013,0.0,5,12.410027302060064,0.0,1,2.482005460412013,1.0,2,4.964010920824026,0.0,20,49.64010920824026,0.0,15,37.2300819061802,0.0,4,9.928021841648052,0.0,68,168.77637130801688,0.0,0,0.0,0.0,2,4.964010920824026,0.0,16,39.71208736659221,0.0,12,29.78406552494416,0.0,23,57.086125589476296,1.0,87,215.9344750558452,0.0,18,44.67609828741623,0.0,-0.1206815774905039,-0.1574225890055809,0.462115516070178,0.2182168141129327,0.0613371165246976,0.1743032470591765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
上海,2019.0,1,5454,94,4,7.334066740007334,0.0,0,0.0,0.0,15,27.502750275027505,0.0,3,5.5005500550055,0.0,15,27.502750275027505,0.0,28,51.33846718005134,0.0,9,16.501650165016503,0.0,12,22.002200220022,1.0,129,236.52365236523653,0.0,2,3.667033370003667,0.0,0,0.0,0.0,11,20.16868353502017,0.0,19,34.83681701503483,0.0,46,84.34176751008434,0.0,150,275.02750275027506,1.0,13,23.83571690502384,0.0,-0.0320900405516966,0.3902007757283482,1.1664699523480042,-0.3733937378298224,0.5081935625082186,0.39442566341551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
上海,2021.0,1,26402,350,32,12.120293917127489,0.0,7,2.6513142943716383,0.0,59,22.346791909703807,0.0,14,5.302628588743277,0.0,2,0.757518369820468,0.0,32,12.120293917127489,0.0,1,0.378759184910234,1.0,74,28.02817968335732,0.0,213,80.67570638587986,0.0,0,0.0,0.0,4,1.515036739640936,0.0,46,17.42292250587077,0.0,98,37.11840012120294,0.0,48,18.18044087569124,0.0,288,109.08264525414742,1.0,50,18.937959245511703,0.0,0.0079136988812559,-0.9391198989534022,-0.8114959958395955,-0.5124298264243393,-0.5809007319705807,-0.7543485737391123,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
中央,2014.0,6,26436,476,12,4.5392646391284615,0.0,1,0.3782720532607051,0.0,68,25.722499621727945,0.0,16,6.052352852171282,0.5,20,7.565441065214102,0.0,128,48.418822817370256,0.0,342,129.36904221516113,0.0,235,88.89393251626569,0.1666666666666666,310,117.26433651081858,0.3333333333333333,4,1.5130882130428205,0.0,47,17.778786503253137,0.0,45,17.02224239673173,0.0,81,30.64003631411711,0.0,164,62.03661673475563,0.5,887,335.52731124224545,0.5,96,36.31411711302769,0.0,-0.105673562958961,-0.0579567746996776,1.8875923955173013,-0.0191606218918891,0.574654019286221,0.6034916663085782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,0,1
中央,2015.0,19,63634,1260,109,17.129207656284375,0.0,11,1.7286356350378729,0.0,112,17.60065373856743,0.1052631578947368,25,3.928717352358802,0.4736842105263157,156,24.515196278718925,0.1052631578947368,163,25.61523713737939,0.0526315789473684,220,34.57271270075746,0.0526315789473684,175,27.501021466511613,0.1052631578947368,751,118.0186692648584,0.1052631578947368,15,2.357230411415281,0.0,22,3.4572712700757458,0.0,323,50.75902819247572,0.0,232,36.458497029889685,0.1052631578947368,344,54.05915076845711,0.631578947368421,1146,180.0924034321275,0.2631578947368421,360,56.57352987396675,0.0,-0.0036565968684489,-0.2182409010923003,0.0348989198230249,0.5559575655162217,-0.0623328593792414,0.124205194748982,0.0,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0,0.1052631578947368,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0,1
中央,2016.0,21,75670,1342,75,9.911457645037665,0.0,15,1.9822915290075327,0.0,109,14.404651777454738,0.0952380952380952,65,8.589929959032641,0.238095238095238,84,11.100832562442184,0.0476190476190476,286,37.79569181974362,0.0,194,25.637637108497422,0.2857142857142857,193,25.50548433989692,0.238095238095238,789,104.26853442579622,0.0952380952380952,7,0.9250693802035151,0.0,56,7.400555041628122,0.0,121,15.990485000660764,0.0,199,26.298400951499936,0.0952380952380952,435,57.48645434121845,0.2857142857142857,1176,155.41165587419056,0.6190476190476191,184,24.316109422492403,0.0,-0.1817968693112449,-0.1493791395551018,-0.2592812011039083,-0.3597564978391537,-0.196819069990085,-0.2561389461660546,0.0,0.2857142857142857,0.0,0.0,0.0,0.0476190476190476,0.0952380952380952,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.1904761904761904,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0952380952380952,0.0,0.0476190476190476,0,1
中央,2017.0,26,87744,1263,79,9.00346462436178,0.0,27,3.0771334792122538,0.0,386,43.99161196207148,0.0,127,14.47392414296134,0.1153846153846153,95,10.826951130561634,0.0,336,38.29321663019694,0.1153846153846153,169,19.26057622173596,0.5384615384615384,515,58.69347191830781,0.0769230769230769,995,113.39806710430342,0.1538461538461538,12,1.3676148796498906,0.0,74,8.433625091174326,0.0,108,12.308533916849017,0.0,492,56.07221006564552,0.0,558,63.59409190371992,0.2307692307692307,1679,191.3521152443472,0.7692307692307693,194,22.10977388767323,0.0,0.3402370195744102,-0.0266638117600348,0.169108119716405,-0.4223892951750075,0.1608937758435935,-0.0933149957395457,0.0769230769230769,0.5384615384615384,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.1153846153846153,0.0,0.0384615384615384,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0,1
中央,2018.0,8,48402,281,31,6.404694020908227,0.0,1,0.2066030329325234,0.0,58,11.98297591008636,0.0,12,2.4792363951902816,0.25,57,11.776372877153836,0.0,84,17.35465476633197,0.125,38,7.850915251435891,0.375,33,6.817900086773274,0.25,384,79.33556464608901,0.0,6,1.2396181975951408,0.0,14,2.8924424610553285,0.0,62,12.809388041816456,0.0,90,18.59427296392711,0.0,153,31.610264038676085,0.375,455,94.00437998429815,0.625,82,16.941448700466925,0.0,-0.3168758536093838,-0.6692864101763617,-0.9912201265629444,-0.569106174320324,-0.6591274634495633,-0.7432042370198767,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,1
中央,2019.0,6,40066,659,27,6.738880846603105,0.0,7,1.747117256526731,0.0,175,43.677931413168274,0.0,14,3.494234513053462,0.6666666666666666,25,6.239704487595468,0.0,67,16.722408026755854,0.1666666666666666,13,3.244646333549643,0.1666666666666666,68,16.97199620625967,0.0,187,46.672989567214096,0.0,34,8.485998103129836,0.0,34,8.485998103129836,0.0,67,16.722408026755854,0.0,209,52.16392951629811,0.0,106,26.45634702740478,0.8333333333333334,268,66.88963210702342,0.1666666666666666,135,33.694404233015526,0.0,0.2717118642538347,-0.7728394794268717,-1.3144121121669152,-0.0935282524279108,-0.6051799091133173,-0.7269266146738992,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
