outcome,n,coef_treat_share,p_treat_share,coef_text_missing,p_text_missing,coef_treat_share_x_text_missing,p_treat_share_x_text_missing,r2
exec_share,262,0.373591843873852,8.413019173847984e-05,0.01679988151506495,0.726015041890934,-0.09494540508471007,0.11988010785399701,0.8400826022327225
proc_share,262,-0.4185634774304419,1.1176471862457056e-05,-0.01689086283739015,0.7056243868000291,0.08762980364864419,0.12505382626765915,0.8442282355003501
ppp_quality_zindex,262,0.5384956147020422,0.24274621660489182,0.03177512795481446,0.7626767298876299,-0.13271706083881293,0.33218386571958836,0.5950573894938953
