depvar,did_var,N,coef,se,t,p,r2,mean_dep,province_fe,year_fe,cluster,controls,coef_star,se_fmt
ppp_quality_zindex,did_intensity,262,0.06527599385236452,0.12152715456302404,0.5371309324823561,0.5911771754889308,0.6123801156648302,0.007194463942505067,Yes,Yes,province,Yes,0.0653,(0.1215)
ppp_quality_zindex,did_any,262,-0.07748076826549308,0.15840201594594494,-0.4891400390505988,0.6247425566332236,0.6126974834873768,0.007194463942505067,Yes,Yes,province,Yes,-0.0775,(0.1584)
ppp_quality_zindex,treat_share,262,0.5252969355953989,0.42139768446620934,1.2465586664549433,0.21255936541502352,0.6128630254535705,0.007194463942505067,Yes,Yes,province,Yes,0.5253,(0.4214)
exec_share,did_intensity,262,0.09272024790729072,0.07212538504955794,1.2855425013479218,0.1986027747242095,0.8394009795565797,0.7052353978701644,Yes,Yes,province,Yes,0.0927,(0.0721)
exec_share,did_any,262,0.03407599531564045,0.03466130166559844,0.9831135496408978,0.32555155631447086,0.838801619438009,0.7052353978701644,Yes,Yes,province,Yes,0.0341,(0.0347)
exec_share,treat_share,262,0.35562770475264427,0.1001636129976972,3.5504680203660413,0.0003845468521862361,0.8391952879992306,0.7052353978701644,Yes,Yes,province,Yes,0.3556***,(0.1002)
proc_share,did_intensity,262,-0.10611555069405552,0.0752147846612254,-1.4108336701621913,0.15829366392693522,0.8439871588896338,0.28090071039040365,Yes,Yes,province,Yes,-0.1061,(0.0752)
proc_share,did_any,262,-0.08086998275446375,0.03580011147284772,-2.2589310319829274,0.02388767531461167,0.8440093312738878,0.28090071039040365,Yes,Yes,province,Yes,-0.0809**,(0.0358)
proc_share,treat_share,262,-0.40227748609271236,0.10190900465620162,-3.9474184587498273,7.899841079915366e-05,0.8437049043771,0.28090071039040365,Yes,Yes,province,Yes,-0.4023***,(0.1019)
prep_share,did_intensity,262,0.013395302786762852,0.022254790452169874,0.601906489101846,0.547236384547428,0.24275197440387342,0.013863891739431988,Yes,Yes,province,Yes,0.0134,(0.0223)
prep_share,did_any,262,0.0467939874388233,0.026433032889957003,1.7702844631424137,0.07667976497132867,0.27211266825707314,0.013863891739431988,Yes,Yes,province,Yes,0.0468*,(0.0264)
prep_share,treat_share,262,0.04664978134006867,0.042622645857087776,1.09448347004275,0.27374299321124296,0.24219081308023382,0.013863891739431988,Yes,Yes,province,Yes,0.0466,(0.0426)
vfm_pass_rate,did_intensity,262,0.0006170259742421403,0.002352683265992304,0.262264786408422,0.7931173084333476,0.30021828609519186,0.9996183206106869,Yes,Yes,province,Yes,0.0006,(0.0024)
vfm_pass_rate,did_any,262,0.0030509163314009075,0.0026763259074537114,1.139964427689446,0.25430112140488736,0.30471618157218217,0.9996183206106869,Yes,Yes,province,Yes,0.0031,(0.0027)
vfm_pass_rate,treat_share,262,0.010079807111380082,0.009361704520076971,1.0767063935593224,0.2816114551446153,0.3015451192483991,0.9996183206106869,Yes,Yes,province,Yes,0.0101,(0.0094)
